epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.188,0.99924,3.45347,1.25235,0.33776,0.19169,0.19927,0.12959,1.03052,2.81685,1.26521,0.00331723,0.00331723,0.0701449
2,490.374,1.12951,2.61368,1.35195,0.49823,0.44732,0.4358,0.262,1.20752,2.45414,1.40798,0.00664892,0.00664892,0.0401433
3,697.011,1.22622,2.51987,1.43036,0.31974,0.30604,0.22889,0.11663,1.5144,3.06403,1.73777,0.00997406,0.00997406,0.0101351
4,927.59,1.38523,2.62226,1.54074,0.23346,0.26775,0.16391,0.08314,1.59295,3.52621,1.83815,0.00997783,0.00997783,0.00997783
5,1117.19,1.3995,2.67948,1.58271,0.27426,0.26121,0.17882,0.08902,1.64165,3.14987,1.81302,0.00996061,0.00996061,0.00996061
6,1305.96,1.43542,2.61382,1.59226,0.33876,0.29319,0.24875,0.12664,1.55726,2.76184,1.7659,0.0099385,0.0099385,0.0099385
7,1497.96,1.39206,2.51975,1.56716,0.30382,0.33443,0.26187,0.13797,1.47227,2.71885,1.69373,0.00991152,0.00991152,0.00991152
8,1687,1.36296,2.41392,1.5545,0.3576,0.3158,0.27113,0.14033,1.50357,2.63082,1.72192,0.0098797,0.0098797,0.0098797
9,1878.36,1.33811,2.37867,1.53013,0.34344,0.35469,0.29064,0.15026,1.46515,2.71895,1.67294,0.00984307,0.00984307,0.00984307
10,2067.33,1.33246,2.31152,1.53166,0.39816,0.36613,0.32623,0.18165,1.41843,2.50361,1.66063,0.00980167,0.00980167,0.00980167
11,2252.9,1.32403,2.25595,1.52345,0.39379,0.40097,0.34842,0.19352,1.42445,2.47626,1.62422,0.00975553,0.00975553,0.00975553
12,2440.87,1.30854,2.2232,1.50819,0.43228,0.40895,0.37227,0.20695,1.40121,2.24858,1.62669,0.0097047,0.0097047,0.0097047
13,2625.8,1.30906,2.17028,1.51644,0.40097,0.41148,0.34968,0.19148,1.39268,2.43575,1.618,0.00964923,0.00964923,0.00964923
14,2809.75,1.27871,2.12865,1.49222,0.38911,0.32359,0.2781,0.15254,1.48267,2.53651,1.72591,0.00958918,0.00958918,0.00958918
15,2994.11,1.26398,2.01795,1.46713,0.45042,0.39938,0.37809,0.21362,1.37088,2.17637,1.57344,0.00952461,0.00952461,0.00952461
16,3178.27,1.27388,2.00709,1.47725,0.4254,0.42994,0.37462,0.2145,1.37191,2.11502,1.57165,0.00945558,0.00945558,0.00945558
17,3362.76,1.274,1.98877,1.47319,0.45024,0.40208,0.3754,0.20713,1.41023,2.209,1.6489,0.00938215,0.00938215,0.00938215
18,3545.04,1.2627,1.97628,1.46883,0.47027,0.44512,0.42608,0.23771,1.36792,2.04236,1.56277,0.00930441,0.00930441,0.00930441
19,3728.77,1.22097,1.88095,1.44329,0.48548,0.48312,0.458,0.26676,1.34288,1.93408,1.55344,0.00922242,0.00922242,0.00922242
20,3911.69,1.24116,1.89534,1.45315,0.50116,0.44535,0.42754,0.24865,1.34172,2.00605,1.5674,0.00913627,0.00913627,0.00913627
21,4094.93,1.21631,1.8269,1.43447,0.48274,0.46614,0.44061,0.25369,1.33641,1.89123,1.54468,0.00904604,0.00904604,0.00904604
22,4277.89,1.20489,1.81476,1.43059,0.52638,0.47604,0.47408,0.28148,1.30808,1.82366,1.52565,0.00895182,0.00895182,0.00895182
23,4461.42,1.2005,1.75126,1.42133,0.54591,0.4833,0.48712,0.29196,1.29622,1.78557,1.51195,0.00885371,0.00885371,0.00885371
24,4644.24,1.16643,1.74816,1.39191,0.5408,0.48425,0.49355,0.29904,1.3058,1.76541,1.53654,0.0087518,0.0087518,0.0087518
25,4827.78,1.16638,1.68982,1.38709,0.54325,0.47257,0.48559,0.29242,1.31328,1.79697,1.5327,0.0086462,0.0086462,0.0086462
26,5011.58,1.15769,1.66233,1.39432,0.54569,0.48624,0.48261,0.29083,1.30008,1.78197,1.51878,0.008537,0.008537,0.008537
27,5194.53,1.16697,1.64909,1.39887,0.54682,0.48598,0.49303,0.29447,1.29787,1.73597,1.51172,0.00842431,0.00842431,0.00842431
28,5377.03,1.15706,1.63055,1.38669,0.55662,0.46331,0.48,0.28844,1.28809,1.74833,1.49684,0.00830825,0.00830825,0.00830825
29,5559.78,1.14007,1.58398,1.37435,0.56473,0.52759,0.53218,0.32513,1.27491,1.62015,1.49104,0.00818893,0.00818893,0.00818893
30,5741.66,1.13056,1.54446,1.35724,0.58702,0.51362,0.52751,0.3178,1.28354,1.61191,1.49886,0.00806647,0.00806647,0.00806647
31,5924,1.12999,1.56865,1.36439,0.59396,0.50798,0.52321,0.31982,1.27645,1.6185,1.4953,0.00794099,0.00794099,0.00794099
32,6106.81,1.11687,1.51892,1.35516,0.58972,0.51526,0.53073,0.32633,1.26267,1.64058,1.4793,0.00781261,0.00781261,0.00781261
33,6288.48,1.11472,1.4959,1.34577,0.60005,0.51442,0.54233,0.33579,1.25186,1.57459,1.46757,0.00768145,0.00768145,0.00768145
34,6470.58,1.10936,1.46038,1.34308,0.61764,0.52772,0.56083,0.34796,1.25564,1.55879,1.47305,0.00754766,0.00754766,0.00754766
35,6652.77,1.07486,1.45761,1.32304,0.58567,0.51912,0.53893,0.33451,1.25881,1.58728,1.4782,0.00741136,0.00741136,0.00741136
36,6834.42,1.08938,1.42762,1.32872,0.6005,0.53958,0.56066,0.3485,1.2417,1.52601,1.47175,0.00727268,0.00727268,0.00727268
37,7016.29,1.07355,1.40977,1.31989,0.62954,0.53668,0.57125,0.35633,1.25076,1.50475,1.46539,0.00713177,0.00713177,0.00713177
38,7198.44,1.06579,1.394,1.32192,0.62866,0.52335,0.55779,0.34627,1.25262,1.53152,1.4663,0.00698875,0.00698875,0.00698875
39,7380.97,1.05663,1.3659,1.30438,0.59993,0.53738,0.55907,0.35233,1.24462,1.52176,1.45771,0.00684378,0.00684378,0.00684378
40,7562.73,1.04759,1.34693,1.29803,0.61496,0.53056,0.55702,0.34939,1.24241,1.52752,1.46649,0.006697,0.006697,0.006697
41,7744.75,1.03126,1.33739,1.29583,0.6099,0.54963,0.57856,0.36356,1.23491,1.49181,1.45906,0.00654854,0.00654854,0.00654854
42,7926.6,1.03998,1.29933,1.29268,0.6092,0.55572,0.57918,0.37024,1.22342,1.46527,1.44787,0.00639856,0.00639856,0.00639856
43,8108.81,1.02154,1.2737,1.27998,0.6059,0.55301,0.56906,0.35934,1.22338,1.47338,1.45964,0.00624721,0.00624721,0.00624721
44,8290.89,1.00801,1.2665,1.27922,0.63024,0.56271,0.58962,0.37718,1.21359,1.42073,1.42708,0.00609463,0.00609463,0.00609463
45,8472.16,1.00196,1.2522,1.26861,0.62562,0.55914,0.5779,0.36821,1.21699,1.44337,1.44129,0.00594097,0.00594097,0.00594097
46,8654.83,1.01027,1.26202,1.27652,0.64247,0.54175,0.58142,0.36979,1.22522,1.46381,1.4479,0.00578639,0.00578639,0.00578639
47,8839.85,0.99884,1.2427,1.26416,0.66636,0.5469,0.59866,0.38633,1.21505,1.41668,1.43402,0.00563104,0.00563104,0.00563104
48,9025.14,0.98336,1.19697,1.26036,0.63642,0.56442,0.59185,0.37741,1.21844,1.41411,1.43455,0.00547507,0.00547507,0.00547507
49,9209.83,0.97817,1.18829,1.24386,0.66837,0.55794,0.59447,0.37874,1.2173,1.40743,1.43047,0.00531864,0.00531864,0.00531864
50,9394.93,0.96335,1.17039,1.24456,0.66965,0.557,0.61105,0.39589,1.20204,1.39695,1.42953,0.0051619,0.0051619,0.0051619
51,9579.9,0.97105,1.17653,1.25217,0.64573,0.56141,0.59736,0.3824,1.21705,1.40851,1.43812,0.005005,0.005005,0.005005
52,9764.96,0.96574,1.15139,1.24344,0.65386,0.57954,0.61549,0.39543,1.2036,1.37606,1.43237,0.0048481,0.0048481,0.0048481
53,9948.03,0.93996,1.15082,1.23377,0.65715,0.57595,0.60833,0.39202,1.20374,1.39158,1.43754,0.00469136,0.00469136,0.00469136
54,10129.8,0.92639,1.11317,1.22833,0.64964,0.57849,0.61359,0.39301,1.20623,1.37672,1.42941,0.00453493,0.00453493,0.00453493
55,10310.7,0.93703,1.11174,1.22338,0.66399,0.56315,0.60484,0.39101,1.20654,1.39463,1.43783,0.00437896,0.00437896,0.00437896
56,10491.9,0.92393,1.10686,1.21908,0.64708,0.57549,0.61171,0.39811,1.19082,1.35195,1.41803,0.00422361,0.00422361,0.00422361
57,10673.1,0.8991,1.0553,1.19345,0.67423,0.57609,0.62328,0.40516,1.19528,1.33903,1.42161,0.00406903,0.00406903,0.00406903
58,10854.5,0.91024,1.05943,1.20906,0.64172,0.58917,0.61878,0.39987,1.20054,1.34985,1.42609,0.00391537,0.00391537,0.00391537
59,11036.1,0.90501,1.03568,1.1994,0.67907,0.5814,0.63283,0.41474,1.18041,1.31047,1.40759,0.00376279,0.00376279,0.00376279
60,11216.9,0.90141,1.02631,1.19954,0.66485,0.58311,0.62746,0.40912,1.18667,1.33451,1.41679,0.00361144,0.00361144,0.00361144
61,11397.5,0.88598,1.00537,1.18877,0.67153,0.57241,0.62162,0.40839,1.1829,1.3245,1.41064,0.00346146,0.00346146,0.00346146
62,11580.3,0.88445,1.00013,1.18912,0.67041,0.5849,0.62785,0.40491,1.19716,1.32154,1.43165,0.003313,0.003313,0.003313
63,11762.1,0.87691,0.99833,1.18572,0.67802,0.57767,0.62918,0.41132,1.17323,1.32446,1.40662,0.00316622,0.00316622,0.00316622
64,11943.3,0.87015,0.97847,1.17788,0.67744,0.58899,0.63895,0.41933,1.16334,1.30661,1.39931,0.00302125,0.00302125,0.00302125
65,12123.7,0.85541,0.98088,1.17484,0.69562,0.58421,0.6426,0.42157,1.17088,1.28603,1.40713,0.00287823,0.00287823,0.00287823
66,12304.7,0.85977,0.95531,1.17222,0.69135,0.58745,0.63796,0.4209,1.17628,1.28595,1.40656,0.00273732,0.00273732,0.00273732
67,12485.6,0.85828,0.95963,1.17851,0.6752,0.60456,0.64064,0.42409,1.16343,1.28975,1.39917,0.00259864,0.00259864,0.00259864
68,12667.4,0.84752,0.93402,1.1684,0.70233,0.57933,0.63694,0.42088,1.16174,1.27748,1.40118,0.00246234,0.00246234,0.00246234
69,12849.1,0.84137,0.9184,1.16657,0.67929,0.5932,0.63758,0.42183,1.17288,1.29846,1.40025,0.00232855,0.00232855,0.00232855
70,13031.3,0.83403,0.91606,1.15455,0.70107,0.59193,0.6443,0.42463,1.16865,1.28158,1.40835,0.00219739,0.00219739,0.00219739
71,13212.3,0.8179,0.88468,1.14023,0.70486,0.59034,0.64702,0.42514,1.16934,1.27578,1.40686,0.00206901,0.00206901,0.00206901
72,13393.5,0.81864,0.90338,1.14837,0.7052,0.59015,0.64894,0.42576,1.16708,1.2773,1.40497,0.00194353,0.00194353,0.00194353
73,13573.8,0.82867,0.89242,1.14441,0.71379,0.59184,0.6487,0.42558,1.1655,1.2556,1.40325,0.00182107,0.00182107,0.00182107
74,13754.9,0.80265,0.88793,1.14461,0.6824,0.60908,0.65084,0.42956,1.17215,1.26539,1.40673,0.00170175,0.00170175,0.00170175
75,13935,0.81206,0.86614,1.14197,0.69589,0.60084,0.65196,0.43076,1.15865,1.26442,1.39879,0.00158569,0.00158569,0.00158569
76,14115.9,0.79962,0.86299,1.13479,0.70648,0.59227,0.64961,0.42856,1.15874,1.27329,1.3994,0.001473,0.001473,0.001473
77,14297,0.80796,0.86002,1.13513,0.6944,0.60292,0.65099,0.42754,1.16037,1.26253,1.39837,0.0013638,0.0013638,0.0013638
78,14478.1,0.79377,0.84449,1.13269,0.71028,0.60215,0.65784,0.43349,1.16284,1.25948,1.40102,0.0012582,0.0012582,0.0012582
79,14659.6,0.79239,0.84556,1.12901,0.6953,0.60675,0.65405,0.43324,1.15485,1.26609,1.3946,0.00115629,0.00115629,0.00115629
80,14839.5,0.78235,0.83921,1.11723,0.71227,0.61302,0.66485,0.43848,1.1535,1.24976,1.39671,0.00105818,0.00105818,0.00105818
81,15020.1,0.7983,0.8414,1.13992,0.70227,0.61346,0.66055,0.43685,1.15693,1.24429,1.39871,0.00096396,0.00096396,0.00096396
82,15202,0.77463,0.82971,1.12091,0.71435,0.60253,0.6601,0.43624,1.16075,1.25268,1.4016,0.000873733,0.000873733,0.000873733
83,15381.9,0.77052,0.80752,1.11499,0.72278,0.59516,0.65959,0.4378,1.15495,1.2465,1.39894,0.000787582,0.000787582,0.000787582
84,15562.4,0.77035,0.80774,1.12017,0.71027,0.60484,0.65995,0.43625,1.15622,1.24924,1.40127,0.000705594,0.000705594,0.000705594
85,15743.7,0.77581,0.81916,1.12281,0.73506,0.5927,0.66268,0.43809,1.15915,1.25106,1.40199,0.000627848,0.000627848,0.000627848
86,15923.7,0.76118,0.80653,1.11319,0.71123,0.60645,0.6623,0.44059,1.15497,1.24373,1.3986,0.000554422,0.000554422,0.000554422
87,16104.5,0.76262,0.80877,1.11627,0.71104,0.60869,0.66253,0.44165,1.15235,1.24606,1.39594,0.000485389,0.000485389,0.000485389
88,16285.4,0.75558,0.79,1.10861,0.71851,0.60285,0.66269,0.44168,1.14938,1.23982,1.39267,0.000420816,0.000420816,0.000420816
89,16466.7,0.75554,0.78621,1.10756,0.71177,0.61175,0.66343,0.44195,1.14815,1.24561,1.39412,0.000360766,0.000360766,0.000360766
90,16647.4,0.75838,0.78204,1.10994,0.71018,0.61955,0.66709,0.4432,1.15019,1.23649,1.39542,0.000305301,0.000305301,0.000305301
91,16825.5,0.71009,0.67553,1.07048,0.69725,0.58895,0.64008,0.4205,1.17753,1.27848,1.42049,0.000254473,0.000254473,0.000254473
92,17002,0.68097,0.64756,1.04839,0.71328,0.58452,0.64383,0.42461,1.16813,1.27782,1.41419,0.000208333,0.000208333,0.000208333
93,17179.4,0.68591,0.63995,1.05462,0.7047,0.60268,0.65265,0.43269,1.16193,1.258,1.41116,0.000166927,0.000166927,0.000166927
94,17355.8,0.67407,0.62757,1.04752,0.70381,0.60526,0.65537,0.43404,1.16005,1.25465,1.40986,0.000130296,0.000130296,0.000130296
95,17532.2,0.67557,0.62464,1.05128,0.71189,0.60131,0.65575,0.43555,1.15977,1.25322,1.40965,9.84752e-05,9.84752e-05,9.84752e-05
96,17708.2,0.66843,0.6104,1.04737,0.71061,0.60127,0.65535,0.43489,1.15897,1.26051,1.4092,7.14967e-05,7.14967e-05,7.14967e-05
97,17885,0.66962,0.62345,1.04818,0.71031,0.59977,0.65534,0.43514,1.15894,1.26123,1.40967,4.93871e-05,4.93871e-05,4.93871e-05
98,18061.5,0.66658,0.62224,1.04834,0.69589,0.6119,0.65755,0.43648,1.15789,1.25714,1.40916,3.2168e-05,3.2168e-05,3.2168e-05
99,18238.3,0.66807,0.61227,1.04844,0.70917,0.60702,0.65816,0.43773,1.15609,1.25247,1.40837,1.98565e-05,1.98565e-05,1.98565e-05
100,18414.1,0.6743,0.61474,1.04727,0.70899,0.60324,0.65763,0.43775,1.15661,1.25296,1.40769,1.24647e-05,1.24647e-05,1.24647e-05
