epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.747,1.03713,3.81082,1.1812,0.82776,0.04446,0.08244,0.05806,0.89467,3.34271,1.02597,0.00165064,0.00165064,0.0686378
2,304.65,1.07998,2.865,1.20492,0.47146,0.30106,0.30053,0.20259,1.05411,2.306,1.15581,0.0033122,0.0033122,0.036966
3,433.395,1.18828,2.36343,1.26939,0.53622,0.44218,0.44559,0.2795,1.18298,2.12974,1.25456,0.00495332,0.00495332,0.00527384
4,547.832,1.22156,2.14626,1.28744,0.53791,0.4526,0.45723,0.28464,1.26712,2.12602,1.3463,0.00493099,0.00493099,0.00493099
5,665.006,1.24112,2.07732,1.31176,0.49836,0.43174,0.42844,0.26171,1.28274,2.17842,1.33354,0.00487776,0.00487776,0.00487776
6,784.748,1.27706,2.07266,1.33076,0.48454,0.459,0.43115,0.25698,1.30167,2.16132,1.3365,0.00480989,0.00480989,0.00480989
7,914.117,1.24302,1.95668,1.30975,0.4762,0.47551,0.43231,0.26291,1.25171,2.10603,1.31504,0.00472779,0.00472779,0.00472779
8,1028.22,1.21574,1.94011,1.3104,0.53743,0.48968,0.49493,0.30881,1.2682,1.94973,1.31308,0.00463197,0.00463197,0.00463197
9,1146.54,1.20525,1.85553,1.28784,0.5407,0.48915,0.48961,0.30725,1.23689,2.01204,1.31176,0.00452302,0.00452302,0.00452302
10,1256.65,1.18431,1.81153,1.28575,0.51399,0.46069,0.47119,0.29183,1.2751,2.00572,1.32852,0.00440161,0.00440161,0.00440161
11,1364.01,1.18768,1.77723,1.27601,0.58154,0.487,0.51299,0.32636,1.2361,1.85951,1.30112,0.0042685,0.0042685,0.0042685
12,1475.8,1.17709,1.76919,1.27996,0.5998,0.51363,0.55035,0.3517,1.20137,1.81283,1.27905,0.0041245,0.0041245,0.0041245
13,1589.45,1.15737,1.6865,1.2565,0.56981,0.49126,0.51304,0.32289,1.24103,1.86789,1.28945,0.00397049,0.00397049,0.00397049
